id,brand,model,variant,type,fuel_class,units,rank,share_pct,registered_basis,popularity_rating,paultan_keys,registered_note
hyundai-santa-fe,Hyundai,Santa Fe,,hybrid,hybrid,264,44,0.13,paultan_exact,2,['Hybrid|Hyundai|Santa Fe'],
lexus-lbx,Lexus,LBX,,hybrid,hybrid,703,38,0.34,paultan_exact,3,['Hybrid|Lexus|LBX'],
mazda-cx-60,Mazda,CX-60,,hybrid,hybrid,17,76,0.01,paultan_exact,1,['Hybrid|Mazda|CX-60'],
great-wall-tank-300,GWM,Tank 300,,hybrid,hybrid,31,68,0.01,paultan_exact,1,['Hybrid|Great Wall|Tank 300'],
mercedes-benz-a-class-sedan,Mercedes-Benz,A-Class Sedan,,hybrid,hybrid,794,34,0.38,paultan_exact,3,['Hybrid|Mercedes Benz|A-Class'],
volvo-xc40,Volvo,XC40,,hybrid,hybrid,1894,24,0.91,paultan_exact,4,['Hybrid|Volvo|XC40'],
great-wall-wey-g9,GWM,Wey G9,,phev,hybrid,1769,27,0.85,paultan_exact,4,['Hybrid|Great Wall|Wey G9'],
honda-prelude,Honda,Prelude,,hybrid,hybrid,34,66,0.02,paultan_exact,1,['Hybrid|Honda|Prelude'],
toyota-harrier,Toyota,Harrier,,hybrid,hybrid,136,49,0.07,paultan_exact,2,['Hybrid|Toyota|Harrier'],
mercedes-benz-c-class,Mercedes-Benz,C-Class,,phev,hybrid,12181,5,5.84,paultan_exact,7,['Hybrid|Mercedes Benz|C-Class'],
mazda-cx-80,Mazda,CX-80,,phev,hybrid,0,0,0.0,paultan_no_records,1,[],
bmw-x3,BMW,X3,,hybrid,hybrid,769,35,0.37,paultan_exact,3,['Hybrid|BMW|X3'],
gac-m8,Gac,M8,,phev,hybrid,55,62,0.03,paultan_exact,1,['Hybrid|GAC|M8'],
great-wall-tank-500,GWM,Tank 500,,hybrid,hybrid,271,43,0.13,paultan_exact,2,['Hybrid|Great Wall|Tank 500'],
volvo-xc60,Volvo,XC60,,phev,hybrid,4455,16,2.14,paultan_exact,6,['Hybrid|Volvo|XC60'],
mercedes-benz-glc,Mercedes-Benz,GLC,,phev,hybrid,4879,14,2.34,paultan_exact,6,['Hybrid|Mercedes Benz|GLC'],
bmw-5-series,BMW,5 Series,,hybrid,hybrid,533,39,0.26,paultan_exact,3,['Hybrid|BMW|5 Series'],
mercedes-benz-amg-a-class-sedan,Mercedes-Benz,AMG A-Class Sedan,,hybrid,hybrid,794,34,0.38,paultan_family_shared,3,['Hybrid|Mercedes Benz|A-Class'],Mercedes Benz A-Class (same family as A-Class Sedan)
mercedes-benz-amg-gla,Mercedes-Benz,AMG GLA,,hybrid,hybrid,747,36,0.36,paultan_exact,3,['Hybrid|Mercedes Benz|GLA'],
mercedes-benz-e-class,Mercedes-Benz,E-Class,,phev,hybrid,7529,10,3.61,paultan_exact,6,['Hybrid|Mercedes Benz|E-Class'],
lexus-nx,Lexus,NX,,hybrid,hybrid,155,47,0.07,paultan_exact,2,['Hybrid|Lexus|NX'],
mercedes-benz-amg-glb,Mercedes-Benz,AMG GLB,,hybrid,hybrid,78,58,0.04,paultan_exact,1,['Hybrid|Mercedes Benz|GLB'],
volvo-xc90,Volvo,XC90,,phev,hybrid,2214,20,1.06,paultan_exact,5,['Hybrid|Volvo|XC90'],
mercedes-benz-glc-coupe,Mercedes-Benz,GLC Coupe,,phev,hybrid,4879,14,2.34,paultan_family_shared,6,['Hybrid|Mercedes Benz|GLC'],Mercedes Benz GLC (same family as GLC/AMG GLC Coupe)
audi-a5-sportback,Audi,A5 Sportback,,hybrid,hybrid,0,0,0.0,paultan_no_records,1,[],
mercedes-benz-amg-c-class,Mercedes-Benz,AMG C-Class,,phev,hybrid,12181,5,5.84,paultan_family_shared,7,['Hybrid|Mercedes Benz|C-Class'],Mercedes Benz C-Class (same family as C-Class)
denza-b8,Denza,B8,,phev,hybrid,14,79,0.01,paultan_exact,1,['Hybrid|Denza|B8'],
audi-q7,Audi,Q7,,hybrid,hybrid,93,55,0.04,paultan_exact,1,['Hybrid|Audi|Q7'],
bmw-x5,BMW,X5,,phev,hybrid,1,120,0.0,paultan_exact,1,['Hybrid|BMW|X5'],
lexus-rx,Lexus,RX,,hybrid,hybrid,1296,31,0.62,paultan_exact,4,['Hybrid|Lexus|RX'],
mercedes-benz-gle,Mercedes-Benz,GLE,,phev,hybrid,2039,21,0.98,paultan_exact,5,['Hybrid|Mercedes Benz|GLE'],
mercedes-benz-amg-glc-coupe,Mercedes-Benz,AMG GLC Coupe,,hybrid,hybrid,4879,14,2.34,paultan_family_shared,6,['Hybrid|Mercedes Benz|GLC'],Mercedes Benz GLC (same family as GLC/GLC Coupe)
mercedes-benz-cle,Mercedes-Benz,CLE,,hybrid,hybrid,38,65,0.02,paultan_exact,1,['Hybrid|Mercedes Benz|CLE'],
toyota-vellfire,Toyota,Vellfire,,hybrid,hybrid,91,56,0.04,paultan_exact,1,['Hybrid|Toyota|Vellfire'],
bmw-x7,BMW,X7,,hybrid,hybrid,1,120,0.0,paultan_exact,1,['Hybrid|BMW|X7'],
bmw-7-series,BMW,7 Series,,phev,hybrid,719,37,0.34,paultan_exact,3,['Hybrid|BMW|7 Series'],
mercedes-benz-amg-cle,Mercedes-Benz,AMG CLE,,hybrid,hybrid,38,65,0.02,paultan_family_shared,1,['Hybrid|Mercedes Benz|CLE'],Mercedes Benz CLE (same family as CLE)
bmw-x6,BMW,X6,,hybrid,hybrid,0,0,0.0,paultan_no_records,1,[],
mercedes-benz-s-class,Mercedes-Benz,S-Class,,phev,hybrid,1698,28,0.81,paultan_exact,4,['Hybrid|Mercedes Benz|S-Class'],
porsche-cayenne-coupe,Porsche,Cayenne Coupe,,phev,hybrid,254,46,0.12,paultan_exact,2,['Hybrid|Porsche|Cayenne'],
mercedes-benz-amg-gle-coupe,Mercedes-Benz,AMG GLE Coupe,,hybrid,hybrid,2039,21,0.98,paultan_family_shared,5,['Hybrid|Mercedes Benz|GLE'],Mercedes Benz GLE (same family as GLE/AMG GLE)
mercedes-benz-amg-sl,Mercedes-Benz,AMG SL,,phev,hybrid,0,0,0.0,paultan_no_records,1,[],
mercedes-benz-amg-gle,Mercedes-Benz,AMG GLE,,hybrid,hybrid,2039,21,0.98,paultan_family_shared,5,['Hybrid|Mercedes Benz|GLE'],Mercedes Benz GLE (same family as GLE/AMG GLE Coupe)
bmw-m5,BMW,M5,,phev,hybrid,0,0,0.0,paultan_no_records,1,[],
lexus-lm,Lexus,LM,,hybrid,hybrid,105,53,0.05,paultan_exact,2,['Hybrid|Lexus|LM'],
lexus-lx,Lexus,LX,,hybrid,hybrid,2,110,0.0,paultan_exact,1,['Hybrid|Lexus|LX'],
mercedes-benz-maybach-s-class,Mercedes-Benz,Maybach S-Class,,hybrid,hybrid,16,78,0.01,paultan_exact,1,['Hybrid|Mercedes-Maybach|S-Class'],
mercedes-benz-maybach-gls,Mercedes-Benz,Maybach GLS,,hybrid,hybrid,10,84,0.0,paultan_exact,1,['Hybrid|Mercedes-Maybach|GLS'],
mercedes-benz-amg-g-class,Mercedes-Benz,AMG G-Class,,hybrid,hybrid,95,54,0.05,paultan_family_shared,1,['Hybrid|Mercedes Benz|G-Class'],Mercedes Benz G-Class hybrid (same family as G-Class)
mercedes-benz-amg-s-class,Mercedes-Benz,AMG S-Class,,phev,hybrid,1698,28,0.81,paultan_family_shared,4,['Hybrid|Mercedes Benz|S-Class'],Mercedes Benz S-Class (same family as S-Class)
jaecoo-j5,Jaecoo,J5,,hybrid,hybrid,3,100,0.0,paultan_exact,1,['Hybrid|Omoda Jaecoo|Jaecoo J5'],
jaecoo-j7,Jaecoo,J7,,hybrid,hybrid,1945,23,0.93,paultan_exact,4,['Hybrid|Omoda Jaecoo|Jaecoo J7'],
jaecoo-j8,Jaecoo,J8,,hybrid,hybrid,3,100,0.0,paultan_exact,1,['Hybrid|Omoda Jaecoo|Jaecoo J8'],
omoda-c9,Omoda,C9,,hybrid,hybrid,302,41,0.14,paultan_exact,2,['Hybrid|Omoda Jaecoo|Omoda 9'],
jaecoo-j7-phev,Jaecoo,J7 PHEV,,phev,hybrid,1945,23,0.93,paultan_family_shared,4,['Hybrid|Omoda Jaecoo|Jaecoo J7'],Omoda Jaecoo Jaecoo J7 (same family as Jaecoo J7)
omoda-c9-phev,Omoda,C9 PHEV,,phev,hybrid,302,41,0.14,paultan_family_shared,2,['Hybrid|Omoda Jaecoo|Omoda 9'],Omoda Jaecoo Omoda 9 (same family as Omoda C9)
byd-dolphin,BYD,Dolphin,Extended Range,ev,ev,2831,10,2.16,paultan_exact,5,['EV|BYD|Dolphin'],
hyundai-ioniq-5,Hyundai,Ioniq 5,Plus AWD Long Range,ev,ev,348,48,0.27,paultan_exact,2,['EV|Hyundai|Ioniq 5'],
kia-ev6,Kia,EV6,GT-Line AWD,ev,ev,120,65,0.09,paultan_exact,2,['EV|Kia|EV6'],
toyota-corolla-hybrid,Toyota,Corolla Hybrid,1.8 Hybrid,hybrid,hybrid,3,100,0.0,paultan_exact,1,"['Hybrid|Toyota|Corolla', 'Hybrid|Toyota|Corolla Altis']",
honda-accord-ehev,Honda,Accord e:HEV,RS e:HEV,hybrid,hybrid,0,0,0.0,paultan_no_records,1,[],
cherry-tiggo8-pro-phev,Chery,Tiggo 8 Pro PHEV,Flagship,hybrid,hybrid,1446,30,0.69,paultan_family_shared,4,['Hybrid|Chery|Tiggo'],Chery Tiggo (family shared with Tiggo Cross / Tiggo 7 / Tiggo 8)
jaguar-i-pace,Jaguar,I-PACE,EV400 Black LE,ev,ev,61,75,0.05,paultan_exact,1,['EV|Jaguar|I-Pace'],
rolls-royce-spectre,Rolls-Royce,Spectre,,ev,ev,42,82,0.03,paultan_exact,1,['EV|Rolls Royce|Spectre'],
higer-h5c-ace-e1,Higer,H5C (Ace E1),15-Seater Passenger Van,ev,ev,27,87,0.02,paultan_exact,1,['EV|Higer|H5C'],
higer-h7v,Higer,H7V,20-Seater Electric Coaster,ev,ev,1,132,0.0,paultan_exact,1,['EV|Higer|H7V'],
mitsubishi-outlander-phev,Mitsubishi,Outlander PHEV,PHEV (expected 2026 launch),phev,hybrid,2,110,0.0,paultan_exact,1,['Hybrid|Mitsubishi|Outlander'],
ford-mustang-mach-e,Ford,Mustang Mach-E,Premium AWD Extended Range (UK-spec import),ev,ev,12,97,0.01,paultan_exact,1,"['EV|Ford|Mustang', 'EV|Ford|Mach-E']",
porsche-taycan,Porsche,Taycan,Facelift MY2027 (Performance Battery Plus),ev,ev,1696,18,1.29,paultan_exact,4,['EV|Porsche|Taycan'],
mercedes-benz-eqb,Mercedes-Benz,EQB,EQB 300 AMG Line (7-seat),ev,ev,256,55,0.2,paultan_exact,2,['EV|Mercedes Benz|EQB'],
mercedes-benz-eqc,Mercedes-Benz,EQC,EQC 400 4Matic,ev,ev,193,60,0.15,paultan_exact,2,['EV|Mercedes Benz|EQC'],
hyundai-kona-electric,Hyundai,Kona Electric,Standard (39.2 kWh),ev,ev,218,58,0.17,paultan_exact,2,['EV|Hyundai|Kona'],
hyundai-kona-electric-emax,Hyundai,Kona Electric,e-Max Long Range (64 kWh),ev,ev,218,58,0.17,paultan_family_shared,2,['EV|Hyundai|Kona'],Hyundai Kona (same family as Kona Electric)
mg-zs-ev,MG,ZS EV,ZS EV (51.1 kWh),ev,ev,126,65,0.1,paultan_exact,2,"['EV|MG|ZS', 'EV|MG|ZS EV']",
audi-rs-e-tron-gt,Audi,RS e-tron GT,RS e-tron GT (facelift),ev,ev,50,78,0.04,paultan_exact,1,['EV|Audi|RS e-tron GT'],
audi-sq8-e-tron,Audi,SQ8 e-tron,SQ8 e-tron (Mk1),ev,ev,7,102,0.01,paultan_exact,1,['EV|Audi|SQ8'],
mazda-mx-30,Mazda,MX-30,MX-30 (35.5 kWh),ev,ev,32,84,0.02,paultan_exact,1,['EV|Mazda|MX-30'],
bmw-i3s,BMW,i3s,i3s eDrive (120 Ah),ev,ev,31,85,0.02,paultan_exact,1,['EV|BMW|i3'],
kia-niro-ev,Kia,Niro EV,Niro EV (64.8 kWh),ev,ev,11,97,0.01,paultan_exact,1,['EV|Kia|Niro'],
